categoria,item,tier,tier_num,preco_amber,licenca_minima,notas
Arma,ElectroPod,Beta,3,800,Beta+,
Arma,Tek Sword,Beta,3,800,Beta+,
Arma,Tek Claws,Beta,3,800,Beta+,
Arma,Tek Rifle,Beta,3,800,Beta+,
Arma,Sniper,Beta,3,800,Beta+,
Arma,Pike,Beta,3,800,Beta+,
Arma,Pump-Action,Beta,3,800,Beta+,
Arma,Club/Clava,Beta,3,800,Beta+,
Arma,Grenade Launcher,Beta,3,800,Beta+,
Arma,Cruise Missile,Beta,3,800,Beta+,
Ferramenta,Chainsaw,Beta,3,700,Beta+,
Ferramenta,Hatchet,Beta,3,700,Beta+,
Ferramenta,Mining Drill,Beta,3,700,Beta+,
Ferramenta,Pick,Beta,3,700,Beta+,
Ferramenta,Sickle,Beta,3,700,Beta+,
Ferramenta,Fishing Rod,Beta,3,700,Beta+,
Ferramenta,Torch,Beta,3,700,Beta+,
Ferramenta,Whip,Beta,3,700,Beta+,
Ferramenta,Lantern Charge,Beta,3,700,Beta+,
Sela,Sela TEK Megalodon,Beta,3,1000,Beta+,
Sela,Sela TEK Mosassauro,Beta,3,1000,Beta+,
Sela,Sela TEK Rex,Beta,3,1000,Beta+,
Sela,Sela TEK Rock Drake,Beta,3,1000,Beta+,
Sela,Sela TEK Astrodelph,Beta,3,1000,Beta+,
Sela,Sela TEK Astrocetus,Beta,3,1000,Beta+,
Sela,Sela TEK Tapejara,Beta,3,1000,Beta+,
Armadura,Botas TEK,Alfa,4,1700,Alfa+,
Armadura,Luvas TEK,Alfa,4,1700,Alfa+,
Armadura,Capacete TEK,Alfa,4,1700,Alfa+,
Armadura,Calcas TEK,Alfa,4,1700,Alfa+,
Armadura,Peitoral TEK,Alfa,4,1700,Alfa+,
Arma,Tek Shield Armor,Alfa,4,1300,Alfa+,
Arma,Shoulder Cannon,Alfa,4,1300,Alfa+,
Arma,Tek Bow,Alfa,4,1300,Alfa+,
Arma,Tek Pistol,Alfa,4,1300,Alfa+,
Arma,ElectroPod,Alfa,4,1300,Alfa+,
Arma,Tek Sword,Alfa,4,1300,Alfa+,
Arma,Tek Claws,Alfa,4,1300,Alfa+,
Arma,Tek Rifle,Alfa,4,1300,Alfa+,
Arma,Sniper,Alfa,4,1300,Alfa+,
Arma,Pike,Alfa,4,1300,Alfa+,
Arma,Pump-Action,Alfa,4,1300,Alfa+,
Arma,Club/Clava,Alfa,4,1300,Alfa+,
Arma,Grenade Launcher,Alfa,4,1300,Alfa+,
Arma,Cruise Missile,Alfa,4,1300,Alfa+,
Ferramenta,Chainsaw,Alfa,4,1000,Alfa+,
Ferramenta,Hatchet,Alfa,4,1000,Alfa+,
Ferramenta,Mining Drill,Alfa,4,1000,Alfa+,
Ferramenta,Pick,Alfa,4,1000,Alfa+,
Ferramenta,Sickle,Alfa,4,1000,Alfa+,
Ferramenta,Fishing Rod,Alfa,4,1000,Alfa+,
Ferramenta,Torch,Alfa,4,1000,Alfa+,
Ferramenta,Whip,Alfa,4,1000,Alfa+,
Ferramenta,Lantern Charge,Alfa,4,1000,Alfa+,
Sela,Sela TEK Megalodon,Alfa,4,1500,Alfa+,
Sela,Sela TEK Mosassauro,Alfa,4,1500,Alfa+,
Sela,Sela TEK Rex,Alfa,4,1500,Alfa+,
Sela,Sela TEK Rock Drake,Alfa,4,1500,Alfa+,
Sela,Sela TEK Astrodelph,Alfa,4,1500,Alfa+,
Sela,Sela TEK Astrocetus,Alfa,4,1500,Alfa+,
Sela,Sela TEK Tapejara,Alfa,4,1500,Alfa+,
Armadura,Botas TEK,Omega,5,2400,Omega+,
Armadura,Luvas TEK,Omega,5,2400,Omega+,
Armadura,Capacete TEK,Omega,5,2400,Omega+,
Armadura,Calcas TEK,Omega,5,2400,Omega+,
Armadura,Peitoral TEK,Omega,5,2400,Omega+,
Arma,Tek Shield Armor,Omega,5,1800,Omega+,
Arma,Shoulder Cannon,Omega,5,1800,Omega+,
Arma,Tek Bow,Omega,5,1800,Omega+,
Arma,Tek Pistol,Omega,5,1800,Omega+,
Arma,ElectroPod,Omega,5,1800,Omega+,
Arma,Tek Sword,Omega,5,1800,Omega+,
Arma,Tek Claws,Omega,5,1800,Omega+,
Arma,Tek Rifle,Omega,5,1800,Omega+,
Arma,Sniper,Omega,5,1800,Omega+,
Arma,Pike,Omega,5,1800,Omega+,
Arma,Pump-Action,Omega,5,1800,Omega+,
Arma,Club/Clava,Omega,5,1800,Omega+,
Arma,Grenade Launcher,Omega,5,1800,Omega+,
Arma,Cruise Missile,Omega,5,1800,Omega+,
Ferramenta,Chainsaw,Omega,5,1400,Omega+,
Ferramenta,Hatchet,Omega,5,1400,Omega+,
Ferramenta,Mining Drill,Omega,5,1400,Omega+,
Ferramenta,Pick,Omega,5,1400,Omega+,
Ferramenta,Sickle,Omega,5,1400,Omega+,
Ferramenta,Fishing Rod,Omega,5,1400,Omega+,
Ferramenta,Torch,Omega,5,1400,Omega+,
Ferramenta,Whip,Omega,5,1400,Omega+,
Ferramenta,Lantern Charge,Omega,5,1400,Omega+,
Sela,Sela TEK Megalodon,Omega,5,2100,Omega+,
Sela,Sela TEK Mosassauro,Omega,5,2100,Omega+,
Sela,Sela TEK Rex,Omega,5,2100,Omega+,
Sela,Sela TEK Rock Drake,Omega,5,2100,Omega+,
Sela,Sela TEK Astrodelph,Omega,5,2100,Omega+,
Sela,Sela TEK Astrocetus,Omega,5,2100,Omega+,
Sela,Sela TEK Tapejara,Omega,5,2100,Omega+,
Armadura,Botas TEK,Transcendente,6,3400,Transcendente+,
Armadura,Luvas TEK,Transcendente,6,3400,Transcendente+,
Armadura,Capacete TEK,Transcendente,6,3400,Transcendente+,
Armadura,Calcas TEK,Transcendente,6,3400,Transcendente+,
Armadura,Peitoral TEK,Transcendente,6,3400,Transcendente+,
Arma,Tek Shield Armor,Transcendente,6,2600,Transcendente+,
Arma,Shoulder Cannon,Transcendente,6,2600,Transcendente+,
Arma,Tek Bow,Transcendente,6,2600,Transcendente+,
Arma,Tek Pistol,Transcendente,6,2600,Transcendente+,
Arma,ElectroPod,Transcendente,6,2600,Transcendente+,
Arma,Tek Sword,Transcendente,6,2600,Transcendente+,
Arma,Tek Claws,Transcendente,6,2600,Transcendente+,
Arma,Tek Rifle,Transcendente,6,2600,Transcendente+,
Arma,Sniper,Transcendente,6,2600,Transcendente+,
Arma,Pike,Transcendente,6,2600,Transcendente+,
Arma,Pump-Action,Transcendente,6,2600,Transcendente+,
Arma,Club/Clava,Transcendente,6,2600,Transcendente+,
Arma,Grenade Launcher,Transcendente,6,2600,Transcendente+,
Arma,Cruise Missile,Transcendente,6,2600,Transcendente+,
Ferramenta,Chainsaw,Transcendente,6,2000,Transcendente+,
Ferramenta,Hatchet,Transcendente,6,2000,Transcendente+,
Ferramenta,Mining Drill,Transcendente,6,2000,Transcendente+,
Ferramenta,Pick,Transcendente,6,2000,Transcendente+,
Ferramenta,Sickle,Transcendente,6,2000,Transcendente+,
Ferramenta,Fishing Rod,Transcendente,6,2000,Transcendente+,
Ferramenta,Torch,Transcendente,6,2000,Transcendente+,
Ferramenta,Whip,Transcendente,6,2000,Transcendente+,
Ferramenta,Lantern Charge,Transcendente,6,2000,Transcendente+,
Armadura,Botas TEK,Etereo,7,4800,Etereo+,
Armadura,Luvas TEK,Etereo,7,4800,Etereo+,
Armadura,Capacete TEK,Etereo,7,4800,Etereo+,
Armadura,Calcas TEK,Etereo,7,4800,Etereo+,
Armadura,Peitoral TEK,Etereo,7,4800,Etereo+,
Arma,Tek Shield Armor,Etereo,7,3600,Etereo+,
Arma,Shoulder Cannon,Etereo,7,3600,Etereo+,
Arma,Tek Bow,Etereo,7,3600,Etereo+,
Arma,Tek Pistol,Etereo,7,3600,Etereo+,
Arma,ElectroPod,Etereo,7,3600,Etereo+,
Arma,Tek Sword,Etereo,7,3600,Etereo+,
Arma,Tek Claws,Etereo,7,3600,Etereo+,
Arma,Tek Rifle,Etereo,7,3600,Etereo+,
Arma,Sniper,Etereo,7,3600,Etereo+,
Arma,Pike,Etereo,7,3600,Etereo+,
Arma,Pump-Action,Etereo,7,3600,Etereo+,
Arma,Club/Clava,Etereo,7,3600,Etereo+,
Arma,Grenade Launcher,Etereo,7,3600,Etereo+,
Arma,Cruise Missile,Etereo,7,3600,Etereo+,
Ferramenta,Chainsaw,Etereo,7,2900,Etereo+,
Ferramenta,Hatchet,Etereo,7,2900,Etereo+,
Ferramenta,Mining Drill,Etereo,7,2900,Etereo+,
Ferramenta,Pick,Etereo,7,2900,Etereo+,
Ferramenta,Sickle,Etereo,7,2900,Etereo+,
Ferramenta,Fishing Rod,Etereo,7,2900,Etereo+,
Ferramenta,Torch,Etereo,7,2900,Etereo+,
Ferramenta,Whip,Etereo,7,2900,Etereo+,
Ferramenta,Lantern Charge,Etereo,7,2900,Etereo+,
Armadura,Botas TEK,Universal,8,6400,Universal+,
Armadura,Luvas TEK,Universal,8,6400,Universal+,
Armadura,Capacete TEK,Universal,8,6400,Universal+,
Armadura,Calcas TEK,Universal,8,6400,Universal+,
Armadura,Peitoral TEK,Universal,8,6400,Universal+,
Arma,Tek Shield Armor,Universal,8,4800,Universal+,
Arma,Shoulder Cannon,Universal,8,4800,Universal+,
Arma,Tek Bow,Universal,8,4800,Universal+,
Arma,Tek Pistol,Universal,8,4800,Universal+,
Arma,ElectroPod,Universal,8,4800,Universal+,
Arma,Tek Sword,Universal,8,4800,Universal+,
Arma,Tek Claws,Universal,8,4800,Universal+,
Arma,Tek Rifle,Universal,8,4800,Universal+,
Arma,Sniper,Universal,8,4800,Universal+,
Arma,Pike,Universal,8,4800,Universal+,
Arma,Pump-Action,Universal,8,4800,Universal+,
Arma,Club/Clava,Universal,8,4800,Universal+,
Arma,Grenade Launcher,Universal,8,4800,Universal+,
Arma,Cruise Missile,Universal,8,4800,Universal+,
Ferramenta,Chainsaw,Universal,8,3800,Universal+,
Ferramenta,Hatchet,Universal,8,3800,Universal+,
Ferramenta,Mining Drill,Universal,8,3800,Universal+,
Ferramenta,Pick,Universal,8,3800,Universal+,
Ferramenta,Sickle,Universal,8,3800,Universal+,
Ferramenta,Fishing Rod,Universal,8,3800,Universal+,
Ferramenta,Torch,Universal,8,3800,Universal+,
Ferramenta,Whip,Universal,8,3800,Universal+,
Ferramenta,Lantern Charge,Universal,8,3800,Universal+,
Armadura,Botas TEK,Onipotente,9,8400,Onipotente+,
Armadura,Luvas TEK,Onipotente,9,8400,Onipotente+,
Armadura,Capacete TEK,Onipotente,9,8400,Onipotente+,
Armadura,Calcas TEK,Onipotente,9,8400,Onipotente+,
Armadura,Peitoral TEK,Onipotente,9,8400,Onipotente+,
Arma,Tek Shield Armor,Onipotente,9,6300,Onipotente+,
Arma,Shoulder Cannon,Onipotente,9,6300,Onipotente+,
Arma,Tek Bow,Onipotente,9,6300,Onipotente+,
Arma,Tek Pistol,Onipotente,9,6300,Onipotente+,
Arma,ElectroPod,Onipotente,9,6300,Onipotente+,
Arma,Tek Sword,Onipotente,9,6300,Onipotente+,
Arma,Tek Claws,Onipotente,9,6300,Onipotente+,
Arma,Tek Rifle,Onipotente,9,6300,Onipotente+,
Arma,Sniper,Onipotente,9,6300,Onipotente+,
Arma,Pike,Onipotente,9,6300,Onipotente+,
Arma,Pump-Action,Onipotente,9,6300,Onipotente+,
Arma,Club/Clava,Onipotente,9,6300,Onipotente+,
Arma,Grenade Launcher,Onipotente,9,6300,Onipotente+,
Arma,Cruise Missile,Onipotente,9,6300,Onipotente+,
Ferramenta,Chainsaw,Onipotente,9,5000,Onipotente+,
Ferramenta,Hatchet,Onipotente,9,5000,Onipotente+,
Ferramenta,Mining Drill,Onipotente,9,5000,Onipotente+,
Ferramenta,Pick,Onipotente,9,5000,Onipotente+,
Ferramenta,Sickle,Onipotente,9,5000,Onipotente+,
Ferramenta,Fishing Rod,Onipotente,9,5000,Onipotente+,
Ferramenta,Torch,Onipotente,9,5000,Onipotente+,
Ferramenta,Whip,Onipotente,9,5000,Onipotente+,
Ferramenta,Lantern Charge,Onipotente,9,5000,Onipotente+,
Armadura,Botas TEK,Surreal,10,10800,Surreal+,
Armadura,Luvas TEK,Surreal,10,10800,Surreal+,
Armadura,Capacete TEK,Surreal,10,10800,Surreal+,
Armadura,Calcas TEK,Surreal,10,10800,Surreal+,
Armadura,Peitoral TEK,Surreal,10,10800,Surreal+,
Arma,Tek Shield Armor,Surreal,10,8100,Surreal+,
Arma,Shoulder Cannon,Surreal,10,8100,Surreal+,
Arma,Tek Bow,Surreal,10,8100,Surreal+,
Arma,Tek Pistol,Surreal,10,8100,Surreal+,
Arma,ElectroPod,Surreal,10,8100,Surreal+,
Arma,Tek Sword,Surreal,10,8100,Surreal+,
Arma,Tek Claws,Surreal,10,8100,Surreal+,
Arma,Tek Rifle,Surreal,10,8100,Surreal+,
Arma,Sniper,Surreal,10,8100,Surreal+,
Arma,Pike,Surreal,10,8100,Surreal+,
Arma,Pump-Action,Surreal,10,8100,Surreal+,
Arma,Club/Clava,Surreal,10,8100,Surreal+,
Arma,Grenade Launcher,Surreal,10,8100,Surreal+,
Arma,Cruise Missile,Surreal,10,8100,Surreal+,
Ferramenta,Chainsaw,Surreal,10,6500,Surreal+,
Ferramenta,Hatchet,Surreal,10,6500,Surreal+,
Ferramenta,Mining Drill,Surreal,10,6500,Surreal+,
Ferramenta,Pick,Surreal,10,6500,Surreal+,
Ferramenta,Sickle,Surreal,10,6500,Surreal+,
Ferramenta,Fishing Rod,Surreal,10,6500,Surreal+,
Ferramenta,Torch,Surreal,10,6500,Surreal+,
Ferramenta,Whip,Surreal,10,6500,Surreal+,
Ferramenta,Lantern Charge,Surreal,10,6500,Surreal+,
Armadura,Botas TEK,Imaterial,11,13600,Imaterial+,
Armadura,Luvas TEK,Imaterial,11,13600,Imaterial+,
Armadura,Capacete TEK,Imaterial,11,13600,Imaterial+,
Armadura,Calcas TEK,Imaterial,11,13600,Imaterial+,
Armadura,Peitoral TEK,Imaterial,11,13600,Imaterial+,
Arma,Tek Shield Armor,Imaterial,11,10200,Imaterial+,
Arma,Shoulder Cannon,Imaterial,11,10200,Imaterial+,
Arma,Tek Bow,Imaterial,11,10200,Imaterial+,
Arma,Tek Pistol,Imaterial,11,10200,Imaterial+,
Arma,ElectroPod,Imaterial,11,10200,Imaterial+,
Arma,Tek Sword,Imaterial,11,10200,Imaterial+,
Arma,Tek Claws,Imaterial,11,10200,Imaterial+,
Arma,Tek Rifle,Imaterial,11,10200,Imaterial+,
Arma,Sniper,Imaterial,11,10200,Imaterial+,
Arma,Pike,Imaterial,11,10200,Imaterial+,
Arma,Pump-Action,Imaterial,11,10200,Imaterial+,
Arma,Club/Clava,Imaterial,11,10200,Imaterial+,
Arma,Grenade Launcher,Imaterial,11,10200,Imaterial+,
Arma,Cruise Missile,Imaterial,11,10200,Imaterial+,
Ferramenta,Chainsaw,Imaterial,11,8200,Imaterial+,
Ferramenta,Hatchet,Imaterial,11,8200,Imaterial+,
Ferramenta,Mining Drill,Imaterial,11,8200,Imaterial+,
Ferramenta,Pick,Imaterial,11,8200,Imaterial+,
Ferramenta,Sickle,Imaterial,11,8200,Imaterial+,
Ferramenta,Fishing Rod,Imaterial,11,8200,Imaterial+,
Ferramenta,Torch,Imaterial,11,8200,Imaterial+,
Ferramenta,Whip,Imaterial,11,8200,Imaterial+,
Ferramenta,Lantern Charge,Imaterial,11,8200,Imaterial+,
Armadura,Botas TEK,Exotico,12,17200,Exotico+,
Armadura,Luvas TEK,Exotico,12,17200,Exotico+,
Armadura,Capacete TEK,Exotico,12,17200,Exotico+,
Armadura,Calcas TEK,Exotico,12,17200,Exotico+,
Armadura,Peitoral TEK,Exotico,12,17200,Exotico+,
Arma,Tek Shield Armor,Exotico,12,12900,Exotico+,
Arma,Shoulder Cannon,Exotico,12,12900,Exotico+,
Arma,Tek Bow,Exotico,12,12900,Exotico+,
Arma,Tek Pistol,Exotico,12,12900,Exotico+,
Arma,ElectroPod,Exotico,12,12900,Exotico+,
Arma,Tek Sword,Exotico,12,12900,Exotico+,
Arma,Tek Claws,Exotico,12,12900,Exotico+,
Arma,Tek Rifle,Exotico,12,12900,Exotico+,
Arma,Sniper,Exotico,12,12900,Exotico+,
Arma,Pike,Exotico,12,12900,Exotico+,
Arma,Pump-Action,Exotico,12,12900,Exotico+,
Arma,Club/Clava,Exotico,12,12900,Exotico+,
Arma,Grenade Launcher,Exotico,12,12900,Exotico+,
Arma,Cruise Missile,Exotico,12,12900,Exotico+,
Ferramenta,Chainsaw,Exotico,12,10300,Exotico+,
Ferramenta,Hatchet,Exotico,12,10300,Exotico+,
Ferramenta,Mining Drill,Exotico,12,10300,Exotico+,
Ferramenta,Pick,Exotico,12,10300,Exotico+,
Ferramenta,Sickle,Exotico,12,10300,Exotico+,
Ferramenta,Fishing Rod,Exotico,12,10300,Exotico+,
Ferramenta,Torch,Exotico,12,10300,Exotico+,
Ferramenta,Whip,Exotico,12,10300,Exotico+,
Ferramenta,Lantern Charge,Exotico,12,10300,Exotico+,
Licenca,Licenca Delta (30 dias),Delta,,6000,Delta,Renovacao antecipada: 4800 | Renovacao recente: 5400
Licenca,Licenca Delta Renovacao Antecipada,Delta,,4800,Delta,-20% se ativa
Licenca,Licenca Delta Renovacao Recente,Delta,,5400,Delta,-10% ate 7 dias apos vencimento
Licenca,Licenca Gama (30 dias),Gama,,50000,Gama,Renovacao antecipada: 40000 | Renovacao recente: 45000
Licenca,Licenca Gama Renovacao Antecipada,Gama,,40000,Gama,-20% se ativa
Licenca,Licenca Gama Renovacao Recente,Gama,,45000,Gama,-10% ate 7 dias apos vencimento
Licenca,Licenca Beta (30 dias),Beta,,75000,Beta,Renovacao antecipada: 60000 | Renovacao recente: 67500
Licenca,Licenca Beta Renovacao Antecipada,Beta,,60000,Beta,-20% se ativa
Licenca,Licenca Beta Renovacao Recente,Beta,,67500,Beta,-10% ate 7 dias apos vencimento
Licenca,Licenca Alfa (30 dias),Alfa,,100000,Alfa,Renovacao antecipada: 80000 | Renovacao recente: 90000
Licenca,Licenca Alfa Renovacao Antecipada,Alfa,,80000,Alfa,-20% se ativa
Licenca,Licenca Alfa Renovacao Recente,Alfa,,90000,Alfa,-10% ate 7 dias apos vencimento
Licenca,Licenca Omega (30 dias),Omega,,115000,Omega,Renovacao antecipada: 92000 | Renovacao recente: 103500
Licenca,Licenca Omega Renovacao Antecipada,Omega,,92000,Omega,-20% se ativa
Licenca,Licenca Omega Renovacao Recente,Omega,,103500,Omega,-10% ate 7 dias apos vencimento
Licenca,Licenca Transcendente (30 dias),Transcendente,,130000,Transcendente,Renovacao antecipada: 104000 | Renovacao recente: 117000
Licenca,Licenca Transcendente Renovacao Antecipada,Transcendente,,104000,Transcendente,-20% se ativa
Licenca,Licenca Transcendente Renovacao Recente,Transcendente,,117000,Transcendente,-10% ate 7 dias apos vencimento
Licenca,Licenca Etereo (30 dias),Etereo,,150000,Etereo,Renovacao antecipada: 120000 | Renovacao recente: 135000
Licenca,Licenca Etereo Renovacao Antecipada,Etereo,,120000,Etereo,-20% se ativa
Licenca,Licenca Etereo Renovacao Recente,Etereo,,135000,Etereo,-10% ate 7 dias apos vencimento
Licenca,Licenca Universal (30 dias),Universal,,165000,Universal,Renovacao antecipada: 132000 | Renovacao recente: 148500
Licenca,Licenca Universal Renovacao Antecipada,Universal,,132000,Universal,-20% se ativa
Licenca,Licenca Universal Renovacao Recente,Universal,,148500,Universal,-10% ate 7 dias apos vencimento
Licenca,Licenca Onipotente (30 dias),Onipotente,,180000,Onipotente,Renovacao antecipada: 144000 | Renovacao recente: 162000
Licenca,Licenca Onipotente Renovacao Antecipada,Onipotente,,144000,Onipotente,-20% se ativa
Licenca,Licenca Onipotente Renovacao Recente,Onipotente,,162000,Onipotente,-10% ate 7 dias apos vencimento
Licenca,Licenca Surreal (30 dias),Surreal,,195000,Surreal,Renovacao antecipada: 156000 | Renovacao recente: 175500
Licenca,Licenca Surreal Renovacao Antecipada,Surreal,,156000,Surreal,-20% se ativa
Licenca,Licenca Surreal Renovacao Recente,Surreal,,175500,Surreal,-10% ate 7 dias apos vencimento
Licenca,Licenca Imaterial (30 dias),Imaterial,,215000,Imaterial,Renovacao antecipada: 172000 | Renovacao recente: 193500
Licenca,Licenca Imaterial Renovacao Antecipada,Imaterial,,172000,Imaterial,-20% se ativa
Licenca,Licenca Imaterial Renovacao Recente,Imaterial,,193500,Imaterial,-10% ate 7 dias apos vencimento
Licenca,Licenca Exotico (30 dias),Exotico,,230000,Exotico,Renovacao antecipada: 184000 | Renovacao recente: 207000
Licenca,Licenca Exotico Renovacao Antecipada,Exotico,,184000,Exotico,-20% se ativa
Licenca,Licenca Exotico Renovacao Recente,Exotico,,207000,Exotico,-10% ate 7 dias apos vencimento
Criaturas,HoverSkiff,Sem tier,,15000,Alfa+,
Criaturas,HoverSail,Sem tier,,12000,Alfa+,
Criaturas,Exo-Mek,Sem tier,,20000,Omega+,
Criaturas,Enforcer,Sem tier,,8000,Beta+,
Criaturas,Defender,Sem tier,,8000,Beta+,
Criaturas,Stryder,Sem tier,,25000,Universal+,
Criaturas,Submarine,Sem tier,,18000,Omega+,
Estruturas,Alfa Fabric,Sem tier,,3000,Delta+,
Estruturas,Alfa Tailor,Sem tier,,4000,Delta+,
Estruturas,Alfa Mini Crop,Sem tier,,3500,Delta+,
Estruturas,Alfa Mini Forge,Sem tier,,5500,Gama+,
Estruturas,Alfa Update Rig,Sem tier,,6000,Gama+,
Estruturas,Alfa Converter,Sem tier,,7500,Beta+,
Estruturas,Alfa Mini Tek Generator,Sem tier,,12000,Beta+,
Estruturas,Alfa Mini Tek Replicator,Sem tier,,15000,Beta+,
Estruturas,Alfa Mini Atomic Lab,Sem tier,,20000,Omega+,
Estruturas,Alfa CrioFreezer,Sem tier,,12000,Alfa+,
Estruturas,Alfa CrioCentral,Sem tier,,15000,Omega+,
Estruturas,Alfa Solar Light,Sem tier,,1500,Delta+,
Estruturas,Alfaneon,Sem tier,,2000,Delta+,
Estruturas,Alfa Solar Panel,Sem tier,,4000,Gama+,
Estruturas,Alfa Mega Box,Sem tier,,7000,Beta+,
Estruturas,Alfa Structure Builder,Sem tier,,10000,Alfa+,
Estruturas,Alfa Fast Travel,Sem tier,,18000,Alfa+,
Estruturas,Alfa Ocean Platform,Sem tier,,25000,Universal+,
Estruturas,Alfa Aquario,Sem tier,,15000,Alfa+,
Estruturas,BUILD Tek Barrier,Sem tier,,3000,Delta+,
Estruturas,BUILD Foundation,Sem tier,,2000,Delta+,
Estruturas,BUILD Ceiling/Pillar/Wall,Sem tier,,1500,Delta+,
Estruturas,BUILD Door/Gate/Ramp,Sem tier,,1000,Delta+,
Estruturas,BUILD Furniture,Sem tier,,500,Delta+,
Outros,AlphaCryopod,Sem tier,,400,Delta+,
Outros,AlphaCryoPistol,Sem tier,,800,Delta+,
Outros,AlphaSpyglass,Sem tier,,1500,Delta+,
Outros,Alfa Camera Mode,Sem tier,,2000,Delta+,
Outros,Alfa Personal Velocimeter,Sem tier,,1200,Delta+,
Outros,Alfa Personal Item Collector,Sem tier,,3000,Gama+,
Outros,Alfa Personal Shield,Sem tier,,8000,Alfa+,
Outros,Alfa Explorer Note Finder,Sem tier,,2500,Delta+,
Outros,Alfa Gift Box,Sem tier,,500,Delta+,
Outros,Alfa Caixa Misteriosa,Sem tier,,1000,Delta+,
